t,f,Q,R_over_D,abs_residual
-1.605,-0.31141109862108873,-0.3089,-0.0025110986210887254,0.0025110986210887254
-1.59,-0.30865715987059106,-0.3062,-0.0024571598705910302,0.0024571598705910302
-1.575,-0.3059019427298931,-0.3035,-0.0024019427298930807,0.0024019427298930807
-1.56,-0.3031454509054401,-0.3008,-0.002345450905440083,0.002345450905440083
-1.545,-0.300387692054518,-0.2981,-0.002287692054518009,0.002287692054518009
-1.53,-0.29762867824167166,-0.2954,-0.0022286782416716666,0.0022286782416716666
-1.515,-0.2948684264311944,-0.2927,-0.002168426431194359,0.002168426431194359
-1.5,-0.29210695901639344,-0.29000000000000004,-0.002106959016393406,0.002106959016393406
-1.485,-0.2893443043857874,-0.2873,-0.002044304385787399,0.002044304385787399
-1.47,-0.28658049752568854,-0.2846,-0.0019804975256885182,0.0019804975256885182
-1.455,-0.28381558065771273,-0.28190000000000004,-0.00191558065771269,0.00191558065771269
-1.44,-0.28104960390863376,-0.2792,-0.0018496039086337568,0.0018496039086337568
-1.425,-0.2782826260086034,-0.2765,-0.0017826260086033496,0.0017826260086033496
-1.41,-0.27551471501205915,-0.2738,-0.0017147150120591648,0.0017147150120591648
-1.395,-0.2727459490336155,-0.2711,-0.0016459490336154792,0.0016459490336154792
-1.38,-0.26997641698881486,-0.26839999999999997,-0.0015764169888148882,0.0015764169888148882
-1.365,-0.2672062193268062,-0.2657,-0.001506219326806224,0.001506219326806224
-1.35,-0.2644354687387705,-0.263,-0.0014354687387704845,0.0014354687387704845
-1.335,-0.26166429082222836,-0.2603,-0.0013642908222283867,0.0013642908222283867
-1.32,-0.25889282467726044,-0.2576,-0.0012928246772604401,0.0012928246772604401
-1.305,-0.25612122340616933,-0.25489999999999996,-0.0012212234061693694,0.0012212234061693694
-1.29,-0.25334965448331415,-0.2522,-0.0011496544833141664,0.0011496544833141664
-1.275,-0.2505782999568594,-0.24949999999999997,-0.001078299956859402,0.001078299956859402
-1.26,-0.24780735643919988,-0.2468,-0.0010073564391998857,0.0010073564391998857
-1.245,-0.2450370348381062,-0.2441,-0.0009370348381061988,0.0009370348381061988
-1.23,-0.24226755977652056,-0.24139999999999998,-0.0008675597765205878,0.0008675597765205878
-1.215,-0.2394991686458574,-0.2387,-0.0007991686458574121,0.0007991686458574121
-1.2,-0.23673211023614243,-0.236,-0.000732110236142447,0.000732110236142447
-1.185,-0.23396664288698546,-0.23329999999999998,-0.0006666428869854801,0.0006666428869854801
-1.17,-0.23120303210688958,-0.23059999999999997,-0.0006030321068896116,0.0006030321068896116
-1.155,-0.22844154761549776,-0.2279,-0.0005415476154977672,0.0005415476154977672
-1.14,-0.22568245977475732,-0.22519999999999996,-0.00048245977475736,0.00048245977475736
-1.125,-0.22292603539129396,-0.22249999999999998,-0.0004260353912939885,0.0004260353912939885
-1.11,-0.22017253289396652,-0.2198,-0.00037253289396652067,0.00037253289396652067
-1.095,-0.21742219691780834,-0.2171,-0.0003221969178083539,0.0003221969178083539
-1.08,-0.21467525235810056,-0.2144,-0.0002752523581005528,0.0002752523581005528
-1.065,-0.21193189799540568,-0.21169999999999997,-0.000231897995405711,0.000231897995405711
-1.05,-0.209192299832617,-0.209,-0.00019229983261701,0.00019229983261701
-1.035,-0.20645658432634004,-0.20629999999999996,-0.00015658432634008124,0.00015658432634008124
-1.02,-0.20372483173444098,-0.20359999999999998,-0.00012483173444099993,0.00012483173444099993
-1.005,-0.20099706983597138,-0.20089999999999997,-9.706983597140839e-05,9.706983597140839e-05
-0.9900000000000002,-0.1982732683051351,-0.19820000000000002,-7.326830513507132e-05,7.326830513507132e-05
-0.9750000000000001,-0.19555333403365197,-0.1955,-5.3334033651958324e-05,5.3334033651958324e-05
-0.96,-0.1928371076922969,-0.19279999999999997,-3.710769229692268e-05,3.710769229692268e-05
-0.9449999999999998,-0.19012436179990042,-0.19009999999999996,-2.4361799900451953e-05,2.4361799900451953e-05
-0.9300000000000002,-0.18741480052537351,-0.1874,-1.4800525373503959e-05,1.4800525373503959e-05
-0.915,-0.1847080613858097,-0.1847,-8.0613858096934e-06,8.0613858096934e-06
-0.8999999999999999,-0.1820037189238763,-0.18199999999999997,-3.718923876322444e-06,3.718923876322444e-06
-0.8849999999999998,-0.17930129035503425,-0.17929999999999996,-1.2903550342946435e-06,1.2903550342946435e-06
-0.8700000000000001,-0.17660024307591457,-0.1766,-2.4307591456329547e-07,2.4307591456329547e-07
-0.855,-0.17390000382693171,-0.17389999999999997,-3.826931743722284e-09,3.826931743722284e-09
-0.8399999999999999,-0.1711999692129352,-0.17119999999999996,3.078706475867499e-08,3.078706475867499e-08
-0.8250000000000002,-0.16849951721290693,-0.1685,4.827870930812495e-07,4.827870930812495e-07
-0.81,-0.1657980192595946,-0.1658,1.9807404054161815e-06,1.9807404054161815e-06
-0.7949999999999999,-0.16309485244660105,-0.16309999999999997,5.147553398920923e-06,5.147553398920923e-06
-0.7799999999999998,-0.16038941142529545,-0.16039999999999996,1.0588574704512022e-05,1.0588574704512022e-05
-0.7650000000000001,-0.15768111958574932,-0.1577,1.8880414250688204e-05,1.8880414250688204e-05
-0.75,-0.15496943917098446,-0.155,3.0560829015535695e-05,3.0560829015535695e-05
-0.7349999999999999,-0.1522538800465081,-0.15229999999999996,4.611995349185216e-05,4.611995349185216e-05
