shape,n_slices,edge,determinant,minus_second_log_det,degenerate
aircraft_body,32,4,-51.79995967630643,0.1478260249168472,False
aircraft_body,32,5,-31.24810182200234,0.10297305397826735,False
aircraft_body,32,6,-20.497125805598166,0.07259684568097927,False
aircraft_body,32,7,-14.395952862258149,0.05120244875572226,False
aircraft_body,32,8,-10.71228620433853,0.0357196930954937,False
aircraft_body,32,9,-8.382460129879144,0.024327153086412683,False
aircraft_body,32,10,-6.860544069291681,0.01589422507046268,False
aircraft_body,32,11,-5.849599759092454,0.009696274792734876,False
aircraft_body,32,12,-5.181131916855976,0.0052606436554335605,False
aircraft_body,32,13,-4.757364545553273,0.002279845176579102,False
aircraft_body,32,14,-4.52228802899293,0.0005615304449731293,False
aircraft_body,32,15,-4.446918897362181,7.188602571774252e-31,False
aircraft_body,32,16,-4.522288028992927,0.0005615304449731674,False
aircraft_body,32,17,-4.757364545553273,0.002279845176579102,False
aircraft_body,32,18,-5.181131916855976,0.0052606436554335605,False
aircraft_body,32,19,-5.849599759092456,0.009696274792734983,False
aircraft_body,32,20,-6.860544069291681,0.015894225070462373,False
aircraft_body,32,21,-8.382460129879146,0.024327153086413124,False
aircraft_body,32,22,-10.71228620433854,0.03571969309549343,False
aircraft_body,32,23,-14.395952862258149,0.051202448755722205,False
aircraft_body,32,24,-20.497125805598184,0.0725968456809799,False
aircraft_body,32,25,-31.248101822002376,0.10297305397826706,False
aircraft_body,32,26,-51.7999596763064,0.14782602491684577,False
aircraft_body,32,27,-95.60895890721392,0.2177988990940145,False
aircraft_body,32,28,-204.3369105675595,0.3358160465854573,False
aircraft_body,32,29,-543.7787235657235,0.5591618539636103,False
aircraft_body,32,30,-2123.658837850048,1.0659024974710887,False
