shape,family,n,reference_n,true_conformal_offset,monitor_h,bgk_beta,bgk_shift,correction_order,reference_value,raw_discrete_value,corrected_value,rel_error
circle,identity exterior map,2048,32768,0.001,5.960464477539063e-08,0.5825971579390108,0.0001422356342624538,1,-0.28881438523727193,-0.2878320900219895,-0.2888143151564357,2.4265008887176294e-07
circle,identity exterior map,2048,32768,0.001,5.960464477539063e-08,0.5825971579390108,0.0001422356342624538,2,-0.28881438523727193,-0.2878320900219895,-0.2888143852324421,1.6723054605504287e-11
circle,identity exterior map,2048,32768,0.001,5.960464477539063e-08,0.5825971579390108,0.0001422356342624538,4,-0.28881438523727193,-0.2878320900219895,-0.28881438523727243,1.729831984202864e-15
circle,identity exterior map,2048,32768,0.001,5.960464477539063e-08,0.5825971579390108,0.0001422356342624538,8,-0.28881438523727193,-0.2878320900219895,-0.28881438523727243,1.729831984202864e-15
circle,identity exterior map,2048,32768,0.001,5.960464477539063e-08,0.5825971579390108,0.0001422356342624538,16,-0.28881438523727193,-0.2878320900219895,-0.28881438523727243,1.729831984202864e-15
circle,identity exterior map,2048,32768,0.001,1.4901161193847656e-08,0.5825971579390108,7.11178171312269e-05,0,-0.28881438523727193,-0.2883232201088171,-0.2883232201088171,0.001700625569780076
circle,identity exterior map,2048,32768,0.001,1.4901161193847656e-08,0.5825971579390108,7.11178171312269e-05,1,-0.28881438523727193,-0.2883232201088171,-0.2888143677158548,6.06667051438821e-08
circle,identity exterior map,2048,32768,0.001,1.4901161193847656e-08,0.5825971579390108,7.11178171312269e-05,2,-0.28881438523727193,-0.2883232201088171,-0.2888143852366678,2.0917512760088633e-12
circle,identity exterior map,2048,32768,0.001,1.4901161193847656e-08,0.5825971579390108,7.11178171312269e-05,4,-0.28881438523727193,-0.2883232201088171,-0.28881438523727154,1.3454248766022276e-15
circle,identity exterior map,2048,32768,0.001,1.4901161193847656e-08,0.5825971579390108,7.11178171312269e-05,8,-0.28881438523727193,-0.2883232201088171,-0.28881438523727154,1.3454248766022276e-15
circle,identity exterior map,2048,32768,0.001,1.4901161193847656e-08,0.5825971579390108,7.11178171312269e-05,16,-0.28881438523727193,-0.2883232201088171,-0.28881438523727154,1.3454248766022276e-15
golden_ellipse,closed-form Joukowski ellipse,2048,32768,0.001,1.52587890625e-05,0.5825971579390108,0.002275770148199261,0,15.456635336324847,15.497028428709369,15.497028428709369,0.0026133172909626012
golden_ellipse,closed-form Joukowski ellipse,2048,32768,0.001,1.52587890625e-05,0.5825971579390108,0.002275770148199261,1,15.456635336324847,15.497028428709369,15.45668356318123,3.12013936621985e-06
golden_ellipse,closed-form Joukowski ellipse,2048,32768,0.001,1.52587890625e-05,0.5825971579390108,0.002275770148199261,2,15.456635336324847,15.497028428709369,15.456635400889523,4.177149423465715e-09
golden_ellipse,closed-form Joukowski ellipse,2048,32768,0.001,1.52587890625e-05,0.5825971579390108,0.002275770148199261,4,15.456635336324847,15.497028428709369,15.456635336324497,2.2640263533904123e-14
golden_ellipse,closed-form Joukowski ellipse,2048,32768,0.001,1.52587890625e-05,0.5825971579390108,0.002275770148199261,8,15.456635336324847,15.497028428709369,15.456635336324766,5.2865589977644146e-15
golden_ellipse,closed-form Joukowski ellipse,2048,32768,0.001,1.52587890625e-05,0.5825971579390108,0.002275770148199261,16,15.456635336324847,15.497028428709369,15.456635336324766,5.2865589977644146e-15
golden_ellipse,closed-form Joukowski ellipse,2048,32768,0.001,3.814697265625e-06,0.5825971579390108,0.0011378850740996304,0,15.456635336324847,15.476843947304168,15.476843947304168,0.001307439202620519
