shape,family,n,operation,ms,build_ms,work_units_reported,fft_work_units_estimate,generated_q_residual,dense_q_matrix_stored
three_petal,smooth_nonconvex,512,pde_batch_all5,4.593082936480641,5.6437921011820436,2560,23040,6.960672991975155e-14,False
three_petal,smooth_nonconvex,1024,pde_laplace_dtn,1.9157909555360675,11.27595896832645,1024,10240,2.1805747568566764e-13,False
three_petal,smooth_nonconvex,1024,pde_heat,1.8689170246943831,11.27595896832645,1024,10240,2.3347882234590553e-14,False
three_petal,smooth_nonconvex,1024,pde_poisson,1.8554999260231853,11.27595896832645,1024,10240,2.330766330806144e-14,False
three_petal,smooth_nonconvex,1024,pde_helmholtz,1.8414999358356,11.27595896832645,1024,10240,2.3317520601272852e-14,False
three_petal,smooth_nonconvex,1024,pde_wave,1.863999990746379,11.27595896832645,1024,10240,2.3377741542790605e-14,False
three_petal,smooth_nonconvex,1024,q_bgk4,5.930458079092205,0.0,10240,10240,3.734676987641833e-16,False
three_petal,smooth_nonconvex,1024,pde_batch_all5,9.345707832835615,11.27595896832645,5120,51200,2.1805747568566764e-13,False
three_petal,smooth_nonconvex,2048,pde_laplace_dtn,3.932249965146184,22.64874998945743,2048,22528,5.759220718377654e-13,False
three_petal,smooth_nonconvex,2048,pde_heat,3.906542086042464,22.64874998945743,2048,22528,4.361495888494168e-15,False
three_petal,smooth_nonconvex,2048,pde_poisson,3.879833035171032,22.64874998945743,2048,22528,4.473466952772953e-15,False
three_petal,smooth_nonconvex,2048,pde_helmholtz,3.8980840472504497,22.64874998945743,2048,22528,4.368601439145159e-15,False
three_petal,smooth_nonconvex,2048,pde_wave,3.886040998622775,22.64874998945743,2048,22528,4.303120535208859e-15,False
three_petal,smooth_nonconvex,2048,q_bgk4,11.764999944716692,0.0,22528,22528,2.2408061925850997e-15,False
three_petal,smooth_nonconvex,2048,pde_batch_all5,19.502750132232904,22.64874998945743,10240,112640,5.759220718377654e-13,False
three_petal,smooth_nonconvex,4096,pde_laplace_dtn,8.396417018957436,44.71591697074473,4096,49152,3.575680668091752e-12,False
