shape,branch,rank,eigenvalue,log10_eigenvalue,sample_count,requested_lanczos_steps
joukowski_airfoil,low_nonzero,9,2253.163884828904,3.352792781465665,256,124
joukowski_airfoil,low_nonzero,10,2510.376290958396,3.3997388246038547,256,124
joukowski_airfoil,low_nonzero,11,2770.480369838844,3.442555077325422,256,124
joukowski_airfoil,low_nonzero,12,3035.9827794397465,3.482299303845477,256,124
joukowski_airfoil,high,1,21208016.13896792,7.3265000452164575,256,124
joukowski_airfoil,high,2,7800214.328150239,6.892106536056396,256,124
joukowski_airfoil,high,3,4292268.255400148,6.6326868563972265,256,124
joukowski_airfoil,high,4,2115904.2950911536,6.325496020143023,256,124
joukowski_airfoil,high,5,1517934.7834319458,6.181253112927008,256,124
joukowski_airfoil,high,6,937305.2050737638,5.971881028771211,256,124
joukowski_airfoil,high,7,744712.7807656032,5.87198880727206,256,124
joukowski_airfoil,high,8,520285.71004373516,5.716241897903767,256,124
joukowski_airfoil,high,9,435827.2429791681,5.639314373927058,256,124
joukowski_airfoil,high,10,328874.9682898453,5.517030819219047,256,124
joukowski_airfoil,high,11,293824.37754040933,5.468087824783327,256,124
joukowski_airfoil,high,12,284155.16027214244,5.453555547262211,256,124
square_polygon,low_nonzero,1,159.31698449009585,2.202262077603563,256,124
square_polygon,low_nonzero,2,159.31698449009625,2.2022620776035637,256,124
square_polygon,low_nonzero,3,317.3192463529657,2.50149641414705,256,124
square_polygon,low_nonzero,4,317.3612214311849,2.5015538589426596,256,124
square_polygon,low_nonzero,5,474.0711913741941,2.6758435646685417,256,124
square_polygon,low_nonzero,6,474.0711913741982,2.6758435646685452,256,124
square_polygon,low_nonzero,7,629.4548896450848,2.7989646115205966,256,124
square_polygon,low_nonzero,8,629.5676674988404,2.7990424160037968,256,124
square_polygon,low_nonzero,9,783.6793491434889,2.894138402757211,256,124
square_polygon,low_nonzero,10,783.6793494269382,2.894138402914291,256,124
square_polygon,low_nonzero,11,936.4418397027375,2.9714808094949925,256,124
square_polygon,low_nonzero,12,936.6978772140071,2.971599536013888,256,124
square_polygon,high,1,12641.127395557802,4.101785808110578,256,124
square_polygon,high,2,12641.063360149867,4.101783608125254,256,124
square_polygon,high,3,12641.063360149838,4.101783608125253,256,124
square_polygon,high,4,12640.871229890052,4.101777007276624,256,124
square_polygon,high,5,10130.836191922965,4.005645293193481,256,124
square_polygon,high,6,10124.92690862028,4.005391896746216,256,124
square_polygon,high,7,10107.404061262243,4.004639627733918,256,124
square_polygon,high,8,10098.134285009128,4.004241141646722,256,124
square_polygon,high,9,10087.907570540552,4.003801094402842,256,124
square_polygon,high,10,10067.856607967145,4.002937021455975,256,124
square_polygon,high,11,10052.031701156347,4.0022538495599695,256,124
square_polygon,high,12,10024.177481843417,4.001048747401783,256,124
star_polygon,low_nonzero,1,108.74843578407307,2.036423018865928,256,124
star_polygon,low_nonzero,2,108.7503975440687,2.036430853220972,256,124
star_polygon,low_nonzero,3,216.28465335333664,2.3350257048278347,256,124
star_polygon,low_nonzero,4,216.2926837933008,2.335041829462505,256,124
star_polygon,low_nonzero,5,322.6462743111997,2.5087266545495153,256,124
star_polygon,low_nonzero,6,322.64743789742926,2.5087282207791843,256,124
star_polygon,low_nonzero,7,427.84319419951674,2.631284627957652,256,124
star_polygon,low_nonzero,8,427.85404361571125,2.6312956408285064,256,124
star_polygon,low_nonzero,9,531.6373539308285,2.7256154877637457,256,124
star_polygon,low_nonzero,10,532.1999315233078,2.7260748143359046,256,124
star_polygon,low_nonzero,11,635.0078477659108,2.8027790925681484,256,124
star_polygon,low_nonzero,12,635.0278086910204,2.802792744026807,256,124
star_polygon,high,1,15554.150043892045,4.191846284082913,256,124
star_polygon,high,2,14976.36989981825,4.175406558121195,256,124
star_polygon,high,3,14975.746767853248,4.17538848776063,256,124
star_polygon,high,4,13497.942415421054,4.130267571033239,256,124
star_polygon,high,5,13497.75941793513,4.130261683073828,256,124
star_polygon,high,6,8141.545646997677,3.9107068621667387,256,124
star_polygon,high,7,8141.099863310328,3.9106830820757867,256,124
star_polygon,high,8,8033.89731480737,3.904926276499769,256,124
star_polygon,high,9,8033.841316973728,3.904923249371844,256,124
star_polygon,high,10,7684.914190901929,3.885639022567599,256,124
star_polygon,high,11,7381.11475918319,3.868121957649743,256,124
star_polygon,high,12,7381.11359248331,3.8681218890027464,256,124
double_concave_stealth,low_nonzero,1,260.6723852282638,2.416095025881762,256,124
double_concave_stealth,low_nonzero,2,260.6929112368388,2.4161292219908037,256,124
double_concave_stealth,low_nonzero,3,518.2557391239924,2.7145441201360483,256,124
double_concave_stealth,low_nonzero,4,518.3588588628676,2.7146305251197393,256,124
double_concave_stealth,low_nonzero,5,773.2216836989152,2.888304024584065,256,124
double_concave_stealth,low_nonzero,6,773.2723792512928,2.8883324977598632,256,124
double_concave_stealth,low_nonzero,7,1025.5573187288653,3.0109599382411947,256,124
double_concave_stealth,low_nonzero,8,1025.709291330172,3.0110242895663175,256,124
double_concave_stealth,low_nonzero,9,1275.6093639713529,3.1057176986441113,256,124
double_concave_stealth,low_nonzero,10,1275.7080678732614,3.1057513021145597,256,124
double_concave_stealth,low_nonzero,11,1523.091167864374,3.182725899734873,256,124
double_concave_stealth,low_nonzero,12,1523.5891957352494,3.182867884276911,256,124
double_concave_stealth,high,1,67037.09324983496,4.826315174880494,256,124
double_concave_stealth,high,2,25537.198308527746,4.407173249000638,256,124
double_concave_stealth,high,3,21597.371750212187,4.334400903751422,256,124
double_concave_stealth,high,4,18747.00128346016,4.272931809119809,256,124
double_concave_stealth,high,5,18294.02508962079,4.262309270369249,256,124
double_concave_stealth,high,6,18294.008625346312,4.262308879512303,256,124
double_concave_stealth,high,7,16933.240695236513,4.228740081639593,256,124
double_concave_stealth,high,8,16596.38632837202,4.22001353572113,256,124
double_concave_stealth,high,9,16596.385608807046,4.220013516891543,256,124
double_concave_stealth,high,10,16378.646328724164,4.214278005100899,256,124
double_concave_stealth,high,11,16236.895219542024,4.210502988086803,256,124
double_concave_stealth,high,12,16199.639214011513,4.209505342375424,256,124
rational_asymptote_chart,low_nonzero,1,1248.683919733614,3.0964525190082957,256,124
