operator,n_meridian,n_theta,n_nodes,degree,order,eigenvalue,continuum_target,dtn_target,relative_error_to_continuum,relative_error_to_dtn,relative_residual_to_continuum,batch_apply_ms,dense_matrix_stored
inverse_square_control,16,32,512,5,2,2.2563133315708943,2.283333333333333,5.0,0.011833577414206821,0.5487373336858211,0.018190465232663496,7.448666990967467,False
inverse_square_control,16,32,512,5,3,2.2552232311856812,2.283333333333333,5.0,0.012310993641307433,0.5489553537628638,0.015502304995412546,7.448666990967467,False
inverse_square_control,16,32,512,5,4,2.2509743353576153,2.283333333333333,5.0,0.014171823930971366,0.549805132928477,0.015436693940206888,7.448666990967467,False
inverse_square_control,16,32,512,5,5,2.2433662623383337,2.283333333333333,5.0,0.017503826713138475,0.5513267475323332,0.017832314974651067,7.448666990967467,False
inverse_square_control,16,32,512,6,0,2.3819659634594537,2.45,6.0,0.027768994506345516,0.6030056727567578,0.02897301576717049,7.448666990967467,False
inverse_square_control,16,32,512,6,1,2.409384318430079,2.45,6.0,0.01657782921221275,0.5984359469283201,0.033820276494591746,7.448666990967467,False
inverse_square_control,16,32,512,6,2,2.4097621242833385,2.45,6.0,0.016423622741494573,0.5983729792861102,0.024132296818036168,7.448666990967467,False
inverse_square_control,16,32,512,6,3,2.4105786854601465,2.45,6.0,0.016090332465246385,0.5982368857566422,0.020701625241445316,7.448666990967467,False
inverse_square_control,16,32,512,6,4,2.4079156877920513,2.45,6.0,0.01717727028895871,0.5986807187013248,0.019620671880721873,7.448666990967467,False
inverse_square_control,16,32,512,6,5,2.4018621537437896,2.45,6.0,0.019648100512738992,0.5996896410427017,0.02061302158736079,7.448666990967467,False
inverse_square_control,16,32,512,6,6,2.3921596114886503,2.45,6.0,0.023608321841367293,0.6013067314185583,0.023864191117455715,7.448666990967467,False
inverse_cube_raw,16,32,512,1,0,0.9370505966003161,1.0,1.0,0.06294940339968391,0.06294940339968391,0.0629798633832558,7.456457999069244,False
inverse_cube_raw,16,32,512,1,1,0.9570378271394281,1.0,1.0,0.04296217286057191,0.04296217286057191,0.1651583020022373,7.456457999069244,False
inverse_cube_raw,16,32,512,2,0,1.809738955232435,2.0,2.0,0.0951305223837825,0.0951305223837825,0.09521242714272132,7.456457999069244,False
inverse_cube_raw,16,32,512,2,1,1.877289311823015,2.0,2.0,0.061355344088492525,0.061355344088492525,0.1852341371266325,7.456457999069244,False
inverse_cube_raw,16,32,512,2,2,1.8418366355528306,2.0,2.0,0.07908168222358469,0.07908168222358469,0.09118432325670194,7.456457999069244,False
inverse_cube_raw,16,32,512,3,0,2.6204670934589687,3.0,3.0,0.12651096884701044,0.12651096884701044,0.12663252411594625,7.456457999069244,False
inverse_cube_raw,16,32,512,3,1,2.749461937421623,3.0,3.0,0.08351268752612562,0.08351268752612562,0.2085951822628199,7.456457999069244,False
