shape,target_kind,panels,corner,interior_angle,lambda,trim,local_delta,zeta_weight,h_lambda
stealth_double_concave,corner,192,3.0,4.159094655062397,0.755354930373101,0.0576,-0.00047817614592105505,-0.14862657996253834,0.22995932692532584
stealth_double_concave,corner,192,4.0,4.159094655062397,0.755354930373101,0.0576,0.0011069331461238709,-0.14862657996253834,0.22995932692532584
stealth_double_concave,corner,192,5.0,0.40440437771279525,7.768443732874047,0.14386493665935424,0.031000000995415444,-1705256.3883800507,2.7220959373946324e-07
stealth_double_concave,corner,192,6.0,2.9099762240869254,1.0795939250588011,0.16478604309831585,0.001306677780695431,0.02322808243791865,0.12235938625222843
stealth_double_concave,edge,24,0.0,0.7610127542247298,4.1281734585253345,0.16478604309831585,-0.11661214271091147,-0.024469532314242315,0.0003245552968548694
stealth_double_concave,edge,24,1.0,2.9099762240869254,1.0795939250588011,0.16478604309831585,-0.0010766313885062495,0.02322808243791865,0.12235938625222843
stealth_double_concave,edge,24,2.0,0.40440437771279525,7.768443732874047,0.14386493665935424,0.09967298315817227,-1705256.3883800507,2.7220959373946324e-07
stealth_double_concave,edge,24,3.0,4.159094655062397,0.755354930373101,0.0576,0.00255276000102074,-0.14862657996253834,0.22995932692532584
stealth_double_concave,edge,24,4.0,4.159094655062397,0.755354930373101,0.0576,0.002650165937016974,-0.14862657996253834,0.22995932692532584
stealth_double_concave,edge,24,5.0,0.40440437771279525,7.768443732874047,0.14386493665935424,0.13253809865316027,-1705256.3883800507,2.7220959373946324e-07
stealth_double_concave,edge,24,6.0,2.9099762240869254,1.0795939250588011,0.16478604309831585,0.0004112995935565966,0.02322808243791865,0.12235938625222843
stealth_double_concave,edge,48,0.0,0.7610127542247298,4.1281734585253345,0.16478604309831585,-0.11661214271091991,-0.024469532314242315,0.0003245552968548694
stealth_double_concave,edge,48,1.0,2.9099762240869254,1.0795939250588011,0.16478604309831585,-0.0010766313885061662,0.02322808243791865,0.12235938625222843
stealth_double_concave,edge,48,2.0,0.40440437771279525,7.768443732874047,0.14386493665935424,0.09967298323166471,-1705256.3883800507,2.7220959373946324e-07
stealth_double_concave,edge,48,3.0,4.159094655062397,0.755354930373101,0.0576,0.0025527600010207332,-0.14862657996253834,0.22995932692532584
stealth_double_concave,edge,48,4.0,4.159094655062397,0.755354930373101,0.0576,0.002650165937016981,-0.14862657996253834,0.22995932692532584
stealth_double_concave,edge,48,5.0,0.40440437771279525,7.768443732874047,0.14386493665935424,0.13253809875189954,-1705256.3883800507,2.7220959373946324e-07
stealth_double_concave,edge,48,6.0,2.9099762240869254,1.0795939250588011,0.16478604309831585,0.00041129959355658274,0.02322808243791865,0.12235938625222843
stealth_double_concave,edge,96,0.0,0.7610127542247298,4.1281734585253345,0.16478604309831585,-0.1166121427109218,-0.024469532314242315,0.0003245552968548694
stealth_double_concave,edge,96,1.0,2.9099762240869254,1.0795939250588011,0.16478604309831585,-0.0010766313885061662,0.02322808243791865,0.12235938625222843
stealth_double_concave,edge,96,2.0,0.40440437771279525,7.768443732874047,0.14386493665935424,0.09967298322966354,-1705256.3883800507,2.7220959373946324e-07
stealth_double_concave,edge,96,3.0,4.159094655062397,0.755354930373101,0.0576,0.00255276000102074,-0.14862657996253834,0.22995932692532584
stealth_double_concave,edge,96,4.0,4.159094655062397,0.755354930373101,0.0576,0.00265016593701696,-0.14862657996253834,0.22995932692532584
stealth_double_concave,edge,96,5.0,0.40440437771279525,7.768443732874047,0.14386493665935424,0.13253809874920972,-1705256.3883800507,2.7220959373946324e-07
stealth_double_concave,edge,96,6.0,2.9099762240869254,1.0795939250588011,0.16478604309831585,0.0004112995935566244,0.02322808243791865,0.12235938625222843
stealth_double_concave,edge,192,0.0,0.7610127542247298,4.1281734585253345,0.16478604309831585,-0.1166121427109218,-0.024469532314242315,0.0003245552968548694
stealth_double_concave,edge,192,1.0,2.9099762240869254,1.0795939250588011,0.16478604309831585,-0.0010766313885062218,0.02322808243791865,0.12235938625222843
stealth_double_concave,edge,192,2.0,0.40440437771279525,7.768443732874047,0.14386493665935424,0.09967298322966359,-1705256.3883800507,2.7220959373946324e-07
stealth_double_concave,edge,192,3.0,4.159094655062397,0.755354930373101,0.0576,0.0025527600010207263,-0.14862657996253834,0.22995932692532584
stealth_double_concave,edge,192,4.0,4.159094655062397,0.755354930373101,0.0576,0.002650165937016967,-0.14862657996253834,0.22995932692532584
